id_product;name;link_rewrite;
"928";"Nestle fitness honey&almonds cerelas 355g";"fitness-honey-almond-355g";
"929";"Nestle fitness fruits 375g";"fitnessfruits-375g";
"931";"Foster clark custard powder 300gm";"foster-clark-custard-powder-300gm";
"933";"Foster clarks baking powder 110g";"foster-clarks-baking-powder-110g";
"934";"Foster clarks bicarbonate of soda 150g";"foster-clarks-bicarb-of-soda-150g";
"935";"Foster clarks lemon essence food colour 28ml";"foster-clarks-lemon-essence-28ml";
"936";"Foster clarks mango powder drink 450g";"foster-clarks-mango-pwdr-drink-450g";
"937";"Foster clarks orange powder drink 450g";"foster-clarks-orange-pwdr-drink-450g";
"938";"Foster clarks pineapple powder drink 450g";"foster-clarks-pineapple-pwdr-drink-450g";
"939";"Fragata spanish olives whole black 340g";"fragata-olives-black-340-g";
"941";"Fragata olives green pitted 440g";"fragata-olives-green-pitted-440g";
"942";"Fragata olives green stuffed";"fragata-olives-green-stuffed";
"944";"Freez strawberry 275ml";"freez-strawberry-275ml";
"945";"Bayara french dried prunes 200g";"french-dried-prunes-200g";
"954";"Fruto exotic nectar 300ml";"fruto-exotic-nectar-300ml";
"975";"Gatorade blue bolt 500ml";"gatorade-blue-bolt-500ml";
